task_id,agent_id,reviewer_name,task_order,task_time,original_final_split,terminal_status,scoreable_cell,verified_pass,policy_valid_cell,policy_pass,policy_outcome_value,failure_category,source_artifact_path,score_source_kind,cost_observation_kind
boltons__supply_expansion_20260526__004,kilo_gpt_5_4,Kilo + GPT mainline,3,2015-04-20T13:52:53-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__004,kilo_gpt_5_4_mini,Kilo + GPT low-cost,3,2015-04-20T13:52:53-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__006,codex_gpt_5_4,Codex + GPT mainline,4,2015-05-01T09:16:13+08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__006,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,4,2015-05-01T09:16:13+08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__006,kilo_gpt_5_4,Kilo + GPT mainline,4,2015-05-01T09:16:13+08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__006,kilo_gpt_5_4_mini,Kilo + GPT low-cost,4,2015-05-01T09:16:13+08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__019,codex_gpt_5_4,Codex + GPT mainline,5,2015-07-30T11:07:00+02:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__019,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,5,2015-07-30T11:07:00+02:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__019,kilo_gpt_5_4,Kilo + GPT mainline,5,2015-07-30T11:07:00+02:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__019,kilo_gpt_5_4_mini,Kilo + GPT low-cost,5,2015-07-30T11:07:00+02:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__v2__068,codex_gpt_5_4,Codex + GPT mainline,6,2016-05-16T23:12:59-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__068,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,6,2016-05-16T23:12:59-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__068,kilo_gpt_5_4,Kilo + GPT mainline,6,2016-05-16T23:12:59-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__068,kilo_gpt_5_4_mini,Kilo + GPT low-cost,6,2016-05-16T23:12:59-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__048,codex_gpt_5_4,Codex + GPT mainline,7,2016-05-23T13:39:22+08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__048,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,7,2016-05-23T13:39:22+08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__048,kilo_gpt_5_4,Kilo + GPT mainline,7,2016-05-23T13:39:22+08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__048,kilo_gpt_5_4_mini,Kilo + GPT low-cost,7,2016-05-23T13:39:22+08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__v2__086,codex_gpt_5_4,Codex + GPT mainline,8,2016-07-31T19:01:42-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__086,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,8,2016-07-31T19:01:42-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__086,kilo_gpt_5_4,Kilo + GPT mainline,8,2016-07-31T19:01:42-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__086,kilo_gpt_5_4_mini,Kilo + GPT low-cost,8,2016-07-31T19:01:42-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__087,codex_gpt_5_4,Codex + GPT mainline,9,2016-08-03T02:11:02-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__087,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,9,2016-08-03T02:11:02-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__087,kilo_gpt_5_4,Kilo + GPT mainline,9,2016-08-03T02:11:02-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__087,kilo_gpt_5_4_mini,Kilo + GPT low-cost,9,2016-08-03T02:11:02-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__091,codex_gpt_5_4,Codex + GPT mainline,10,2016-10-24T07:19:32-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__091,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,10,2016-10-24T07:19:32-05:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__091,kilo_gpt_5_4,Kilo + GPT mainline,10,2016-10-24T07:19:32-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__091,kilo_gpt_5_4_mini,Kilo + GPT low-cost,10,2016-10-24T07:19:32-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__092,codex_gpt_5_4,Codex + GPT mainline,11,2016-10-24T08:50:45-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__092,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,11,2016-10-24T08:50:45-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__092,kilo_gpt_5_4,Kilo + GPT mainline,11,2016-10-24T08:50:45-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__092,kilo_gpt_5_4_mini,Kilo + GPT low-cost,11,2016-10-24T08:50:45-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__093,codex_gpt_5_4,Codex + GPT mainline,12,2016-10-24T09:13:19-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__093,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,12,2016-10-24T09:13:19-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__093,kilo_gpt_5_4,Kilo + GPT mainline,12,2016-10-24T09:13:19-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__093,kilo_gpt_5_4_mini,Kilo + GPT low-cost,12,2016-10-24T09:13:19-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__095,codex_gpt_5_4,Codex + GPT mainline,13,2016-10-25T12:30:18-05:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__095,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,13,2016-10-25T12:30:18-05:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__095,kilo_gpt_5_4,Kilo + GPT mainline,13,2016-10-25T12:30:18-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__095,kilo_gpt_5_4_mini,Kilo + GPT low-cost,13,2016-10-25T12:30:18-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__066,codex_gpt_5_4,Codex + GPT mainline,14,2017-01-16T11:01:53-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__066,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,14,2017-01-16T11:01:53-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__066,kilo_gpt_5_4,Kilo + GPT mainline,14,2017-01-16T11:01:53-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__066,kilo_gpt_5_4_mini,Kilo + GPT low-cost,14,2017-01-16T11:01:53-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__v2__103,codex_gpt_5_4,Codex + GPT mainline,15,2017-01-22T18:45:47-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__103,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,15,2017-01-22T18:45:47-08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__103,kilo_gpt_5_4,Kilo + GPT mainline,15,2017-01-22T18:45:47-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__103,kilo_gpt_5_4_mini,Kilo + GPT low-cost,15,2017-01-22T18:45:47-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__122,codex_gpt_5_4,Codex + GPT mainline,16,2017-04-13T23:58:21-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__122,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,16,2017-04-13T23:58:21-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__122,kilo_gpt_5_4,Kilo + GPT mainline,16,2017-04-13T23:58:21-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__122,kilo_gpt_5_4_mini,Kilo + GPT low-cost,16,2017-04-13T23:58:21-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__128,codex_gpt_5_4,Codex + GPT mainline,17,2017-11-08T15:37:41-06:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__128,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,17,2017-11-08T15:37:41-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__128,kilo_gpt_5_4,Kilo + GPT mainline,17,2017-11-08T15:37:41-06:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__128,kilo_gpt_5_4_mini,Kilo + GPT low-cost,17,2017-11-08T15:37:41-06:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__132,codex_gpt_5_4,Codex + GPT mainline,18,2018-06-19T12:28:43-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__132,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,18,2018-06-19T12:28:43-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__132,kilo_gpt_5_4,Kilo + GPT mainline,18,2018-06-19T12:28:43-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__132,kilo_gpt_5_4_mini,Kilo + GPT low-cost,18,2018-06-19T12:28:43-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__133,codex_gpt_5_4,Codex + GPT mainline,19,2018-06-27T16:51:35-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__133,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,19,2018-06-27T16:51:35-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__133,kilo_gpt_5_4,Kilo + GPT mainline,19,2018-06-27T16:51:35-05:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__133,kilo_gpt_5_4_mini,Kilo + GPT low-cost,19,2018-06-27T16:51:35-05:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__093,codex_gpt_5_4,Codex + GPT mainline,20,2018-10-11T12:54:38+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__093,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,20,2018-10-11T12:54:38+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__093,kilo_gpt_5_4,Kilo + GPT mainline,20,2018-10-11T12:54:38+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__093,kilo_gpt_5_4_mini,Kilo + GPT low-cost,20,2018-10-11T12:54:38+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__v2__141,codex_gpt_5_4,Codex + GPT mainline,21,2018-10-14T19:44:49+05:30,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__141,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,21,2018-10-14T19:44:49+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__141,kilo_gpt_5_4,Kilo + GPT mainline,21,2018-10-14T19:44:49+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__141,kilo_gpt_5_4_mini,Kilo + GPT low-cost,21,2018-10-14T19:44:49+05:30,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__095,codex_gpt_5_4,Codex + GPT mainline,22,2018-10-17T00:38:58Z,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__095,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,22,2018-10-17T00:38:58Z,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__095,kilo_gpt_5_4,Kilo + GPT mainline,22,2018-10-17T00:38:58Z,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__095,kilo_gpt_5_4_mini,Kilo + GPT low-cost,22,2018-10-17T00:38:58Z,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__v2__142,codex_gpt_5_4,Codex + GPT mainline,23,2018-12-23T23:04:54-08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__142,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,23,2018-12-23T23:04:54-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__142,kilo_gpt_5_4,Kilo + GPT mainline,23,2018-12-23T23:04:54-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__142,kilo_gpt_5_4_mini,Kilo + GPT low-cost,23,2018-12-23T23:04:54-08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__144,codex_gpt_5_4,Codex + GPT mainline,24,2018-12-24T11:37:08-08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__144,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,24,2018-12-24T11:37:08-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__144,kilo_gpt_5_4,Kilo + GPT mainline,24,2018-12-24T11:37:08-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__144,kilo_gpt_5_4_mini,Kilo + GPT low-cost,24,2018-12-24T11:37:08-08:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
boltons__v2__147,codex_gpt_5_4,Codex + GPT mainline,25,2019-01-15T07:00:03-08:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/boltons_small_expansion_score_table.csv,fresh_paid_cell,observed_tokens_estimated_cost
