task_id,repo_id,task_time_bucket,module_or_package,task_family_label,source_kind,statement_source,statement_quality_status,implementation_file_count_bucket,test_file_count_bucket,candidate_membership,in_weighted_candidate,in_unweighted_candidate,in_stratified_candidate,adapter_outcomes,task_level_outcome,adapter_disagreement,scoreable_cell_count,terminal_status_counts
boltons__hist__006,boltons,2020H1,funcutils,boltons:funcutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
boltons__hist__007,boltons,2020H1,socketutils,boltons:socketutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_unweighted_same_budget",True,True,False,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__013,boltons,2021H1,funcutils,boltons:funcutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__014,boltons,2021H1,"fileutils, jsonutils",boltons:fileutils:multi_file,pull_request,certified_solver_statement,pass_with_minor_risk,2,1,"repo_stratified_by_target_profile,repo_unweighted_same_budget",False,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_fail""}",0.5,True,2,"{""verified_fail"": 1, ""verified_pass"": 1}"
boltons__hist__017,boltons,2022H1,urlutils,boltons:urlutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,repo_unweighted_same_budget,False,True,False,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__019,boltons,2022H2,ioutils,boltons:ioutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
boltons__hist__020,boltons,2022H2,timeutils,boltons:timeutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,repo_unweighted_same_budget,False,True,False,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__024,boltons,2023H1,dictutils,boltons:dictutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__025,boltons,2023H1,funcutils,boltons:funcutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,repo_stratified_by_target_profile,False,False,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__026,boltons,2023H1,dictutils,boltons:dictutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile",True,False,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
boltons__hist__028,boltons,2023H2,iterutils,boltons:iterutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile",True,False,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
boltons__hist__031,boltons,2024H1,iterutils,boltons:iterutils,pull_request,certified_solver_statement,pass_with_minor_risk,1,1,barcarolle_weighted_time_family_matched,True,False,False,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
